G,track,seed,escapeDepthLen,escapeDepthCapped,maxLeaderGapLen,leaderDownCount,finaleLead,finaleDistinct,dead,frontGroupAtLine,duoEscape,gapP1P2,gapP2P3,runaway,parade,bandReach
0.75,searound,15,3.225,1,5.416,1,2,3,0,1,0,5.422,1.501,1,0,0.718
0.75,searound,16,2.323,1,2.587,3,2,3,0,7,0,0.825,0.695,0,0,0.718
0.75,searound,17,3.846,1,6.03,1,2,3,0,2,0,1.871,2.801,0,0,0.718
0.75,searound,18,3.497,0,3.497,0,0,1,1,3,0,0.977,0.92,0,0,0.718
0.75,searound,19,1.528,1,3.926,3,0,1,1,5,0,1.467,1.022,0,0,0.718
0.75,searound,20,4.831,1,4.831,1,1,2,0,3,0,0.793,2.137,0,0,0.718
0.75,searound,21,4.044,1,4.044,1,1,2,0,2,0,2.05,3.953,0,0,0.718
0.75,searound,22,1.561,1,3.967,2,0,1,1,6,0,0.921,1.236,0,0,0.718
0.75,searound,23,3.475,1,4.24,2,1,2,0,3,0,1.859,0.931,0,0,0.718
0.75,searound,24,3.34,1,3.34,1,7,6,0,12,0,0.476,0.218,0,0,0.718
0.75,searound,25,1.954,1,2.06,2,0,1,1,3,0,1.311,1.351,0,0,0.718
0.75,city-circuit,1,2.657,1,5.051,1,3,3,0,6,0,0.011,0.433,0,0,0.771
0.75,city-circuit,2,1.53,1,1.86,1,0,1,1,3,0,1.222,1.617,0,0,0.771
0.75,city-circuit,3,2.444,1,4.112,2,1,2,0,10,0,0.629,0.242,0,0,0.771
0.75,city-circuit,4,2.73,1,3.696,2,2,3,0,5,0,2.193,0.569,0,0,0.771
0.75,city-circuit,5,3.77,1,4.046,1,2,3,0,2,0,2.164,1.499,0,0,0.771
0.75,city-circuit,6,1.151,1,3.473,3,3,4,0,4,0,1.404,0.094,0,0,0.771
0.75,city-circuit,7,1.921,1,2.829,2,1,2,0,4,0,0.598,1.133,0,0,0.771
0.75,city-circuit,8,3.385,1,3.422,3,1,2,0,3,0,1.032,0.168,0,0,0.771
0.75,city-circuit,9,2.325,1,3.382,3,0,1,1,4,0,1.2,0.302,0,0,0.771
0.75,city-circuit,10,2.355,1,3.01,2,3,4,0,10,0,0.565,0.109,0,0,0.771
0.75,city-circuit,11,4.124,1,4.124,1,2,3,0,6,0,0.697,0.876,0,0,0.771
0.75,city-circuit,12,1.812,1,2.637,2,5,6,0,6,0,0.214,0.738,0,0,0.771
0.75,city-circuit,13,3.441,1,4.558,3,2,3,0,2,0,1.198,2.19,0,0,0.771
0.75,city-circuit,14,1.579,1,3.459,2,0,1,1,1,0,3.175,1.111,0,0,0.771
0.75,city-circuit,15,4.61,1,4.716,3,4,5,0,4,0,0.496,0.801,0,0,0.771
0.75,city-circuit,16,1.555,1,2.826,1,1,2,0,2,0,2.828,1.527,0,0,0.771
0.75,city-circuit,17,2.595,1,3.017,3,2,3,0,4,1,0.007,1.502,0,0,0.771
0.75,city-circuit,18,1.916,1,2.806,2,1,2,0,13,0,0.697,0.475,0,0,0.771
0.75,city-circuit,19,2.534,0,2.534,0,5,6,0,9,0,1.096,0.934,0,0,0.771
0.75,city-circuit,20,1.344,1,3.538,2,4,5,0,5,0,1.936,0.134,0,0,0.771
0.75,city-circuit,21,1.698,1,2.383,2,2,3,0,4,0,0.777,0.416,0,0,0.771
0.75,city-circuit,22,2.98,1,2.98,1,2,3,0,10,0,0.462,0.29,0,0,0.771
0.75,city-circuit,23,4.679,1,4.679,1,0,1,1,9,0,0.935,0.722,0,0,0.771
0.75,city-circuit,24,3.687,1,3.687,2,5,6,0,11,0,0.765,0.582,0,0,0.771
0.75,city-circuit,25,2.876,1,3.197,1,1,2,0,2,0,2.608,0.934,0,0,0.771
