G,n,escapeDepthMed,escapeDepthP90,escapeDepthMax,cappedRate,leaderDownPerRace,tiltFracMed,tiltFracMean,tiltSaturatedRate,tiltDeltaMed,nTiltEvents,finaleLead,finaleDistinct,deadRate,duoEscapeRate,frontGroupAtLine,runawayRate,paradeRate,bandReach
0.50,50,1.958,3.687,4.831,0.98,2.32,0.858,0.694,0.397,0.077,116,1.86,2.74,0.28,0.08,3.72,0.12,0,0.769
0.75,50,2.325,4.044,6.918,0.96,1.78,0.74,0.687,0.416,0.076,89,1.8,2.74,0.22,0.04,4.96,0.06,0.02,0.745
