arm,track,seed,runaway,parade,swap,leadChanges,gap090
R93-ON,searound,1,1,0,0,1,4.4821
R93-ON,searound,2,0,0,0,0,1.617
R93-ON,searound,3,0,0,0,0,1.7296
R93-ON,searound,4,0,0,1,3,1.3346
R93-ON,searound,5,0,0,0,0,1.0109
R93-ON,searound,6,1,0,0,1,5.9339
R93-ON,searound,7,0,0,0,0,0.1217
R93-ON,searound,8,0,0,1,1,1.3041
R93-ON,searound,9,0,0,1,1,0.7028
R93-ON,searound,10,0,0,0,1,0.5726
R93-ON,searound,11,0,0,0,0,1.5005
R93-ON,searound,12,1,0,0,2,3.5091
R93-ON,searound,13,0,1,0,0,0.4176
R93-ON,searound,14,0,0,1,3,0.9214
R93-ON,searound,15,1,0,0,2,7.5545
R93-ON,searound,16,0,0,1,2,1.5642
R93-ON,searound,17,0,0,0,3,6.2378
R93-ON,searound,18,1,0,0,3,3.7066
R93-ON,searound,19,0,0,0,0,1.1335
R93-ON,searound,20,1,0,0,0,4.4303
R93-ON,searound,21,0,0,0,1,1.2016
R93-ON,searound,22,0,0,0,3,1.641
R93-ON,searound,23,0,0,1,2,2.0852
R93-ON,searound,24,0,0,1,2,0.4108
R93-ON,searound,25,0,0,0,0,2.1085
R93-ON,searound,26,0,0,0,3,0.5583
R93-ON,searound,27,0,0,0,1,0.9686
R93-ON,searound,28,0,0,0,1,1.2005
R93-ON,searound,29,0,0,0,2,1.4998
R93-ON,searound,30,1,0,0,0,3.649
R93-ON,searound,31,1,0,0,1,7.8399
R93-ON,searound,32,0,0,0,0,0.8375
R93-ON,searound,33,0,0,0,1,1.0333
R93-ON,searound,34,0,0,1,1,0.6328
R93-ON,searound,35,0,0,0,2,1.1996
R93-ON,searound,36,0,0,0,2,5.2537
R93-ON,searound,37,1,0,0,1,5.2033
R93-ON,searound,38,0,0,0,1,0.5853
R93-ON,searound,39,0,0,0,0,0.8597
R93-ON,searound,40,0,0,0,1,1.3158
R93-ON,searound,41,0,0,1,1,0.4048
R93-ON,searound,42,0,0,0,2,0.1332
R93-ON,searound,43,0,0,1,2,0.6363
R93-ON,searound,44,0,0,1,1,2.3182
R93-ON,searound,45,0,0,0,0,0.6413
R93-ON,searound,46,0,0,0,2,1.4762
R93-ON,searound,47,0,0,0,3,1.4995
R93-ON,searound,48,0,0,0,1,1.2568
R93-ON,searound,49,0,0,0,2,0.4148
R93-ON,searound,50,0,0,0,2,1.6658
R93-ON,searound,51,0,0,1,2,0.2656
R93-ON,searound,52,0,0,1,3,1.0792
R93-ON,searound,53,0,0,0,1,0.9722
R93-ON,searound,54,0,0,0,2,2.2065
R93-ON,searound,55,1,0,0,1,3.4852
R93-ON,searound,56,0,0,0,2,1.1791
R93-ON,searound,57,1,0,0,1,5.7049
R93-ON,searound,58,0,0,0,1,0.9824
R93-ON,searound,59,0,0,0,1,2.0494
R93-ON,searound,60,0,0,1,1,1.0452
R93-ON,searound,61,0,0,0,1,2.1558
R93-ON,searound,62,0,0,1,2,0.0856
R93-ON,searound,63,0,0,0,1,1.6697
R93-ON,searound,64,0,0,0,1,4.1417
R93-ON,searound,65,0,0,0,2,0.0065
R93-ON,searound,66,1,0,0,1,3.9794
R93-ON,searound,67,0,0,0,1,0.9956
R93-ON,searound,68,0,0,0,3,1.1995
R93-ON,searound,69,0,0,1,1,1.1992
R93-ON,searound,70,0,0,1,2,1.779
R93-ON,searound,71,0,0,1,2,1.2141
R93-ON,searound,72,0,0,0,1,1.9338
R93-ON,searound,73,0,0,0,2,1.153
R93-ON,searound,74,1,0,0,1,7.4158
R93-ON,searound,75,1,0,0,0,11.7488
R93-ON,searound,76,0,0,0,2,1.2409
R93-ON,searound,77,1,0,0,2,4.0048
R93-ON,searound,78,0,0,0,0,1.2
R93-ON,searound,79,0,0,1,3,1.5002
R93-ON,searound,80,0,0,0,3,1.5401
R93-ON,searound,81,0,0,1,1,0.2966
R93-ON,searound,82,0,0,0,0,1.5558
R93-ON,searound,83,0,0,0,2,1.1996
R93-ON,searound,84,0,0,0,2,1.1996
R93-ON,searound,85,0,0,1,2,1.2478
R93-ON,searound,86,0,0,1,2,0.3273
R93-ON,searound,87,0,0,0,0,2.2236
R93-ON,searound,88,1,0,0,1,3.754
R93-ON,searound,89,0,0,0,1,1.5346
R93-ON,searound,90,0,0,0,1,1.4422
R93-ON,searound,91,0,0,1,5,0.3281
R93-ON,searound,92,0,0,0,3,0.6391
R93-ON,searound,93,0,0,0,2,0.9894
R93-ON,searound,94,0,0,1,1,2.153
R93-ON,searound,95,1,0,0,1,6.7867
R93-ON,searound,96,0,0,0,0,1.3902
R93-ON,searound,97,0,0,0,3,1.0708
R93-ON,searound,98,0,0,0,0,2.2071
R93-ON,searound,99,0,0,0,3,1.9248
R93-ON,searound,100,0,0,1,2,3.0742
