arm,track,seed,runaway,parade,gap090,within3
G15,mountainstreet,1,1,0,7.3231,0
G15,mountainstreet,2,0,0,2.031,6
G15,mountainstreet,3,0,0,0.0861,2
G15,mountainstreet,4,0,0,0.496,2
G15,mountainstreet,5,0,0,0.2282,2
G15,mountainstreet,6,0,0,1.6928,1
G15,mountainstreet,7,0,0,3.2336,0
G15,mountainstreet,8,0,0,1.4792,2
G15,mountainstreet,9,0,0,1.5149,1
G15,mountainstreet,10,0,0,0.8578,3
G15,mountainstreet,11,1,0,4.8481,0
G15,mountainstreet,12,0,0,1.1019,1
G15,mountainstreet,13,0,0,0.0987,4
G15,mountainstreet,14,1,0,9.1614,0
G15,mountainstreet,15,0,0,0.5493,5
G15,mountainstreet,16,0,0,1.616,2
G15,mountainstreet,17,0,0,0.1882,5
G15,mountainstreet,18,0,0,1.8278,4
G15,mountainstreet,19,0,0,0.322,9
G15,mountainstreet,20,0,0,1.1172,1
G15,mountainstreet,21,0,0,1.9032,2
G15,mountainstreet,22,0,0,1.3361,2
G15,mountainstreet,23,0,0,0.1093,3
G15,mountainstreet,24,0,0,1.5001,2
G15,mountainstreet,25,0,0,0.2617,3
G15,mountainstreet,26,0,0,0.6334,4
G15,mountainstreet,27,0,0,1.1517,8
G15,mountainstreet,28,0,0,1.0527,1
G15,mountainstreet,29,0,0,1.6261,2
G15,mountainstreet,30,0,0,0.1735,11
G15,mountainstreet,31,0,0,1.7762,2
G15,mountainstreet,32,0,0,2.3469,1
G15,mountainstreet,33,0,1,2.8198,1
G15,mountainstreet,34,0,0,2.2146,2
G15,mountainstreet,35,0,0,0.0469,1
G15,mountainstreet,36,0,0,1.2777,3
G15,mountainstreet,37,0,0,0.3389,2
G15,mountainstreet,38,0,0,2.0906,5
G15,mountainstreet,39,0,0,1.3237,5
G15,mountainstreet,40,0,0,4.1957,0
G15,mountainstreet,41,0,0,0.4427,6
G15,mountainstreet,42,0,0,0.3548,1
G15,mountainstreet,43,0,0,1.1655,2
G15,mountainstreet,44,0,0,2.9764,1
G15,mountainstreet,45,0,0,3.1676,0
G15,mountainstreet,46,0,0,0.8308,7
G15,mountainstreet,47,0,0,1.2624,3
G15,mountainstreet,48,0,0,1.1955,5
G15,mountainstreet,49,0,0,1.12,4
G15,mountainstreet,50,0,0,1.1255,2
