arm,track,seed,runaway,parade,gap090,within3
G075,searound,1,1,0,4.4203,0
G075,searound,2,0,0,1.2082,4
G075,searound,3,0,0,1.1994,1
G075,searound,4,0,0,2.253,1
G075,searound,5,0,0,3.6566,0
G075,searound,6,1,0,5.9609,0
G075,searound,7,0,0,3.0048,0
G075,searound,8,0,0,1.1998,1
G075,searound,9,0,0,1.1355,4
G075,searound,10,0,0,0.4891,9
G075,searound,11,0,0,1.1997,1
G075,searound,12,1,0,8.0145,0
G075,searound,13,0,0,0.6599,7
G075,searound,14,0,0,1.8941,1
G075,searound,15,1,0,3.9814,0
G075,searound,16,0,0,0.4136,1
G075,searound,17,1,0,4.7476,0
G075,searound,18,0,0,0.8775,2
G075,searound,19,0,0,0.8855,1
G075,searound,20,0,0,2.0393,3
G075,searound,21,0,0,0.0072,2
G075,searound,22,0,0,0.6598,4
G075,searound,23,0,0,3.9113,0
G075,searound,24,0,0,0.1049,11
G075,searound,25,0,0,2.1593,2
G075,searound,26,0,0,2.7082,2
G075,searound,27,1,0,3.2655,0
G075,searound,28,0,0,1.2295,6
G075,searound,29,0,0,2.2804,1
G075,searound,30,0,0,2.0096,1
G075,searound,31,0,0,1.9229,1
G075,searound,32,0,0,2.113,4
G075,searound,33,0,0,0.0038,5
G075,searound,34,0,0,1.1969,2
G075,searound,35,0,0,0.3511,3
G075,searound,36,0,0,1.0843,4
G075,searound,37,0,0,3.7583,0
G075,searound,38,0,0,2.0517,2
G075,searound,39,0,0,1.3534,3
G075,searound,40,0,0,0.5708,4
G075,searound,41,0,0,0.5501,8
G075,searound,42,0,0,0.1462,9
G075,searound,43,0,0,1.4546,2
G075,searound,44,0,0,1.5429,6
G075,searound,45,0,0,1.8688,2
G075,searound,46,0,0,2.4987,1
G075,searound,47,1,0,3.2714,0
G075,searound,48,0,0,0.5879,3
G075,searound,49,0,0,0.2058,8
G075,searound,50,0,0,1.1994,3
