arm,track,type,seed,finaleLeadChanges,deadFinale,gapP1P2,gapP2P3,duoEscape,deadDuoFinale,frontGroupAtLine,within3At090,leaderGapP2At090,leadChanges62,distinctLeaders62,p1Contest62,runaway,parade,winnerIsLeaderAt090
A8-G075,luger-hill,open,49,3,0,2.3272,0.6113,0,0,3,1,0.8268,3,4,1,0,0,1
A8-G075,luger-hill,open,50,2,0,0.8943,0.8535,0,0,4,6,0.239,4,5,1,0,0,0
A8-G075,luger-hill,open,51,1,0,0.7588,0.0764,0,0,7,1,1.7241,1,2,0,0,0,1
A8-G075,luger-hill,open,52,2,0,0.2023,0.3436,0,0,5,4,0.7056,3,3,1,0,0,1
A8-G075,luger-hill,open,53,1,0,0.5947,1.6634,1,0,6,9,1.1384,3,4,1,0,0,0
A8-G075,luger-hill,open,54,2,0,1.2912,1.5813,0,0,3,0,3.0927,2,3,0,1,0,1
A8-G075,luger-hill,open,55,3,0,0.8304,1.5003,0,0,5,5,0.4861,5,5,0,0,0,0
A8-G075,luger-hill,open,56,2,0,2.6809,0.8626,0,0,2,5,0.6798,4,5,1,0,0,0
A8-G075,luger-hill,open,57,2,0,0.9431,0.6233,0,0,5,8,1.0586,4,5,1,0,0,0
A8-G075,luger-hill,open,58,0,1,0.7887,0.1369,0,0,11,10,0.7822,2,3,0,0,0,1
A8-G075,luger-hill,open,59,1,0,0.1934,0.0266,0,0,22,12,0.7348,2,3,0,0,0,0
A8-G075,luger-hill,open,60,3,0,0.3346,0.1108,0,0,16,13,0.1885,4,4,1,0,0,0
A8-G075,luger-hill,open,61,4,0,0.4847,1.0142,0,0,5,5,1.0688,4,4,1,0,0,0
A8-G075,luger-hill,open,62,0,1,3.4209,0.2744,0,0,1,2,0.6641,3,3,1,0,0,1
A8-G075,luger-hill,open,63,2,0,0.0952,1.1971,0,0,8,4,0.4921,3,3,1,0,0,0
A8-G075,luger-hill,open,64,3,0,0.8634,0.49,0,0,9,6,1.6278,2,3,0,0,0,0
A8-G075,luger-hill,open,65,0,1,3.7827,0.9188,0,0,1,0,3.1566,1,2,0,1,0,1
A8-G075,luger-hill,open,66,0,1,1.0363,0.1914,0,0,8,7,0.5068,4,4,1,0,0,1
A8-G075,luger-hill,open,67,2,0,0.0965,0.0868,0,0,4,2,1.6899,1,2,0,0,0,1
A8-G075,luger-hill,open,68,3,0,0.6658,0.0655,0,0,6,4,0.8654,7,5,1,0,0,0
A8-G075,luger-hill,open,69,1,0,0.2014,1.0954,0,0,5,0,3.2831,2,3,0,0,0,0
A8-G075,luger-hill,open,70,2,0,0.0742,0.4893,0,0,26,22,0.3178,5,5,1,0,0,1
A8-G075,luger-hill,open,71,1,0,0.6054,0.7138,0,0,4,5,0.0992,3,4,1,0,0,1
A8-G075,luger-hill,open,72,1,0,1.8724,0.0978,0,0,6,4,0.6694,3,4,1,0,0,1
A8-G075,luger-hill,open,73,0,1,2.4203,1.2691,0,0,2,5,0.2896,3,4,1,0,0,1
A8-G075,luger-hill,open,74,5,0,0.1683,0.2982,0,0,13,11,0.0254,5,5,1,0,0,0
A8-G075,luger-hill,open,75,0,1,3.1885,1.74,0,0,1,1,0.4065,2,3,0,0,0,1
A8-G075,luger-hill,open,76,2,0,1.2384,2.8431,0,0,2,1,1.3095,1,2,0,0,0,1
A8-G075,luger-hill,open,77,1,0,1.6216,0.4173,0,0,6,6,0.9359,4,5,1,0,0,1
