track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
searound,closed,81,82,0,0,0.131,0,0.9999,1,0.1487,1.321,0
searound,closed,82,83,0,0,0.1018,0,1,1,0.4543,0.725,0
searound,closed,83,84,0,0,0.0774,0,0.209,0,3.1673,0.1938,0
searound,closed,84,85,1,0,0.1437,0,0.7625,1,0.3409,0.1248,1
searound,closed,85,86,0,0,0.6032,0,,,0.5171,1.4357,
searound,closed,86,87,0,0,0.0908,0,0.1989,0,1.1288,0.3586,0
searound,closed,87,88,1,0,0.1349,0,0.7276,1,0.714,1.5206,1
searound,closed,88,89,1,0,0.1225,0,0.8107,1,0.7769,1.0098,1
searound,closed,89,90,0,0,0.217,0,1,1,1.0198,1.2488,0
searound,closed,90,91,0,0,0.1102,0,0.6509,0,0.4516,0.2331,0
searound,closed,91,92,0,0,0.0893,0,0.7404,0,0.2867,0.8982,0
searound,closed,92,93,0,0,0.2226,0,1,1,1.3446,1.0309,0
searound,closed,93,94,1,0,0.6133,0,0.7187,1,0.1684,1.0278,1
searound,closed,94,95,1,0,0.1962,0,0.6993,1,0.2958,1.3805,1
searound,closed,95,96,0,0,0.0651,0,0.1668,0,5.2809,0.991,0
searound,closed,96,97,0,0,0.1494,0,,,0.2481,0.7944,
searound,closed,97,98,0,0,0.1489,0,0.7423,0,0.33,1.692,0
searound,closed,98,99,0,0,0.1976,0,0.6996,0,0.5667,0.9181,0
searound,closed,99,100,1,0,0.1069,0,0.6705,1,0.603,0.2108,1
