track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
luger-hill,open,87,88,0,0,0.9999,1,,,0.0676,0.2386,
luger-hill,open,88,89,1,0,0.7533,1,0.8434,1,0.4641,0.6719,1
luger-hill,open,89,90,0,0,0.8958,1,1,1,0.1519,0.3945,0
luger-hill,open,90,91,1,0,0.7576,1,0.8045,1,0.83,0.4629,1
luger-hill,open,91,92,0,0,0.7582,1,0.9658,1,0.1282,0.2783,1
luger-hill,open,92,93,1,0,0.8203,1,0.8818,1,0.9034,0.04,1
luger-hill,open,93,94,0,0,0.8789,1,1,1,0.1383,0.708,0
luger-hill,open,94,95,0,0,0.172,0,0.9593,1,0.4564,0.5964,1
luger-hill,open,95,96,0,0,0.8118,0,,,0.0913,0.1057,
luger-hill,open,96,97,1,0,0.802,1,0.8561,1,0.5195,0.1352,1
luger-hill,open,97,98,0,0,0.983,1,1,1,0.0411,0.7679,0
luger-hill,open,98,99,1,0,0.739,1,0.7736,1,0.7887,0.8816,1
luger-hill,open,99,100,0,0,0.9999,1,,,0.1005,0.2845,
