track,type,raceIdx,seed,runaway,parade,firstCross15,sustained15,firstCross30,sustained30,gapAt030,gapAt060,leaderStable
mountainstreet,open,75,76,1,0,0.195,0,0.7083,1,0.3713,0.7438,1
mountainstreet,open,76,77,0,0,1,1,,,0.1138,0.2735,
mountainstreet,open,77,78,0,0,0.7277,0,1,1,0.5213,0.905,0
mountainstreet,open,78,79,0,0,0.1746,0,,,0.1324,0.0853,
mountainstreet,open,79,80,1,0,0.7828,1,0.8388,1,0.0236,0.3446,1
mountainstreet,open,80,81,1,0,0.7182,1,0.7439,1,0.193,0.6191,1
mountainstreet,open,81,82,0,0,0.6762,0,0.7646,0,0.5754,0.7002,0
mountainstreet,open,82,83,0,0,1,1,,,0.1613,0.3228,
mountainstreet,open,83,84,0,0,0.2267,0,0.9671,1,0.7731,0.336,1
mountainstreet,open,84,85,0,0,0.9935,1,0.9999,1,0.2148,0.2564,0
mountainstreet,open,85,86,0,0,0.1189,0,,,0.3196,0.1167,
mountainstreet,open,86,87,0,0,0.808,1,1,1,0.1255,0.2093,0
mountainstreet,open,87,88,0,0,0.7214,0,0.9226,1,0.2737,0.738,1
mountainstreet,open,88,89,0,0,0.6456,0,0.9999,1,0.2898,0.0978,0
mountainstreet,open,89,90,0,0,0.9999,1,0.9999,1,0.1528,0.9103,0
mountainstreet,open,90,91,0,0,0.7182,0,0.9997,1,0.0861,0.0032,0
mountainstreet,open,91,92,0,0,0.8425,0,,,0.3708,0.2317,
mountainstreet,open,92,93,0,0,0.7352,0,0.8778,1,0.3398,0.3652,1
mountainstreet,open,93,94,0,0,0.2537,0,0.9924,1,0.1955,0.2423,1
mountainstreet,open,94,95,0,0,0.2509,0,0.8629,0,0.0788,0.1102,0
mountainstreet,open,95,96,1,0,0.2302,0,0.7892,1,0.2264,0.5145,1
mountainstreet,open,96,97,0,0,0.709,0,0.9998,1,0.6992,0.054,0
mountainstreet,open,97,98,0,0,0.2372,0,0.9999,1,0.1029,0.5663,0
mountainstreet,open,98,99,0,0,0.1911,0,,,1.2589,0.054,
mountainstreet,open,99,100,0,1,0.232,0,0.9999,1,0.3037,0.3681,0
