arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,garden-path,139,0,0,3,0.62,33
V0,garden-path,140,0,0,3,0.3228,30
V0,garden-path,141,0,0,1,1.8246,32
V0,garden-path,142,0,0,2,2.1901,38
V0,garden-path,143,0,0,3,1.6896,29
V0,garden-path,144,0,0,1,1.2029,28
V0,garden-path,145,0,0,1,2.631,4
V0,garden-path,146,0,0,2,0.9327,33
V0,garden-path,147,0,0,1,1.6636,11
V0,garden-path,148,0,0,1,1.9641,35
V0,garden-path,149,1,0,0,6.4728,30
V0,garden-path,150,0,0,1,1.4985,32
V0,garden-path,151,0,0,4,0.9556,22
V0,garden-path,152,0,0,1,2.0096,14
V0,garden-path,153,1,0,0,4.6325,4
V0,garden-path,154,0,0,1,1.8698,26
V0,garden-path,155,1,0,0,9.2788,22
V0,garden-path,156,0,0,0,3.7784,1
V0,garden-path,157,0,0,1,2.4484,36
V0,garden-path,158,1,0,0,5.7304,23
V0,garden-path,159,0,0,1,1.1431,10
V0,garden-path,160,0,0,1,1.4045,33
V0,garden-path,161,0,0,1,1.1947,20
V0,garden-path,162,1,0,0,16.1535,35
V0,garden-path,163,0,0,1,1.1093,25
V0,garden-path,164,1,0,0,4.713,4
V0,garden-path,165,0,0,6,0.9901,13
V0,garden-path,166,1,0,0,13.9047,19
V0,garden-path,167,0,0,2,1.6204,16
V0,garden-path,168,0,0,1,0.3811,20
V0,garden-path,169,0,1,1,1.8819,17
V0,garden-path,170,0,0,5,1.4416,36
V0,garden-path,171,0,0,6,0.7334,25
V0,garden-path,172,1,0,0,10.9401,23
V0,garden-path,173,0,0,2,0.9521,8
V0,garden-path,174,0,0,2,1.5017,28
V0,garden-path,175,0,0,0,5.1156,24
V0,garden-path,176,0,0,1,1.3083,33
V0,garden-path,177,1,0,0,8.4761,34
V0,garden-path,178,0,0,1,2.6804,18
V0,garden-path,179,0,0,2,1.1155,13
V0,garden-path,180,0,0,1,0.8597,22
V0,garden-path,181,0,0,5,1.4999,37
V0,garden-path,182,1,0,0,7.3856,38
V0,garden-path,183,0,0,5,1.1128,9
V0,garden-path,184,1,0,0,3.7623,24
V0,garden-path,185,1,0,0,3.4983,30
V0,garden-path,186,0,0,1,0.6617,24
V0,garden-path,187,0,0,1,2.9973,35
V0,garden-path,188,0,0,3,0.331,39
V0,garden-path,189,1,0,0,4.1283,12
V0,garden-path,190,0,0,4,2.4193,3
V0,garden-path,191,0,0,1,1.3096,38
V0,garden-path,192,0,0,1,1.3385,26
V0,garden-path,193,0,0,6,0.4714,23
V0,garden-path,194,0,0,2,0.5887,27
V0,garden-path,195,0,0,7,0.2856,22
V0,garden-path,196,1,0,0,4.9315,2
V0,garden-path,197,0,0,2,1.5013,7
V0,garden-path,198,1,0,0,10.9826,11
V0,garden-path,199,0,0,2,1.7249,1
V0,garden-path,200,0,0,2,2.4026,22
