track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
searound,closed,0,1,0.8,4,37,0.000314794,0.000314794,0.000391901,1.058498,1.030223,1,0.945,1,0.85,1,1,0,0.25,0.022842,0,1.2424
searound,closed,0,1,0.8,5,5,0.000326979,0.000326979,0.00034938,0.954858,1.018134,1.04,1,1,0.899887,1,1,0,0.200113,0.126482,0,0.0399
searound,closed,0,1,0.8,6,27,0.000312212,0.000312212,0.000367308,0.99793,1.024178,1,1,1,0.85,1,1,0,0.25,0.08341,0,0.4328
searound,closed,0,1,0.8,7,35,0.000360543,0.000360543,0.000366593,1.007883,1.012089,1.04,0.945,1,1.000709,1,1,0,0.099291,0.073456,0,0.0972
searound,closed,0,1,0.8,8,10,0.000332489,0.000332489,0.000398009,1.08134,1.024178,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.3218
searound,closed,0,1,0.8,9,32,0.000315927,0.000315927,0.000393311,1.08134,1.012089,1,0.945,1,0.85,1,1,0,0.25,0,0,0.4317
searound,closed,0,1,0.8,10,26,0.000312824,0.000312824,0.000330149,0.91866,1,1,0.945,1,1.002671,1,1,0,0.097329,0.162679,0,0.0378
searound,closed,0,1,0.8,11,34,0.000332509,0.000332509,0.00039769,1.067867,1.036268,1.04,0.945,1,0.850734,1,1,0,0.249266,0.013473,0,0.5884
searound,closed,0,1,0.8,12,2,0.000361232,0.000361232,0.00033414,0.91866,1.012089,1.04,0.945,1,1.1,1,1,1,0,0.162679,0,0.3593
searound,closed,0,1,0.8,13,15,0.000321206,0.000321206,0.000384503,1.069904,1,1.04,0.945,1,0.85,1,1,0,0.25,0.011436,0,0.084
searound,closed,0,1,0.8,14,3,0.000328057,0.000328057,0.000338132,0.91866,1.024178,1.04,0.945,1,0.987186,1,1,0,0.112814,0.162679,0,0.071
searound,closed,0,1,0.8,15,33,0.000340821,0.000340821,0.000373129,1.032016,1.006045,1.04,0.945,1,0.929399,1,1,0,0.170601,0.049324,0,0.0718
searound,closed,0,1,0.85,1,11,0.000375772,0.000375772,0.000395509,1.080927,1.018134,1,1,1,0.950098,1,1,0,0.149902,0.000413,0,0
searound,closed,0,1,0.85,2,29,0.000378476,0.000378476,0.000370396,1.030649,1,1,1,1,1.021816,1,1,0,0.078184,0.050691,0,6.732
searound,closed,0,1,0.85,3,22,0.000349754,0.000349754,0.000382471,1.057854,1.006045,1,1,1,0.914461,1,1,0,0.185539,0.023486,0,2.0237
searound,closed,0,1,0.85,4,37,0.000340192,0.000340192,0.000400226,1.080984,1.030223,1,1,1,0.85,1,1,0,0.25,0.000356,0,1.2943
searound,closed,0,1,0.85,5,5,0.000326979,0.000326979,0.00034938,0.954858,1.018134,1.04,1,1,0.899887,1,1,0,0.200113,0.126482,0,0.3445
searound,closed,0,1,0.85,6,35,0.000314172,0.000314172,0.000391882,1.077412,1.012089,1,0.801605,1,1.000118,1,1,0,0.099882,0.003928,0,0.2206
searound,closed,0,1,0.85,7,10,0.000332489,0.000332489,0.000398009,1.08134,1.024178,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.4844
searound,closed,0,1,0.85,8,27,0.000310666,0.000310666,0.000365489,0.992988,1.024178,1,1,1,0.85,1,1,0,0.25,0.088351,0,0.4034
searound,closed,0,1,0.85,9,2,0.000371195,0.000371195,0.00033745,0.92776,1.012089,1,1,1,1.1,1,1,1,0,0.15358,0,0.1844
searound,closed,0,1,0.85,10,32,0.00032277,0.00032277,0.000393311,1.08134,1.012089,1.04,0.928334,1,0.85,1,1,0,0.25,0,0,0.104
searound,closed,0,1,0.85,11,34,0.000332509,0.000332509,0.00039769,1.067867,1.036268,1.04,0.945,1,0.850734,1,1,0,0.249266,0.013473,0,0.2738
searound,closed,0,1,0.85,12,26,0.000342276,0.000342276,0.000361691,1.006429,1,1,0.945,1,1.001397,1,1,0,0.098603,0.074911,0,0.2879
searound,closed,0,1,0.85,13,15,0.000339901,0.000339901,0.000384503,1.069904,1,1.04,1,1,0.85,1,1,0,0.25,0.011436,0,0.2463
searound,closed,0,1,0.85,14,33,0.000341641,0.000341641,0.000369767,1.022717,1.006045,1.04,0.945,1,0.940106,1,1,0,0.159894,0.058623,0,0.1335
searound,closed,0,1,0.85,15,8,0.000335883,0.000335883,0.000382088,1.044249,1.018134,1.04,0.945,1,0.894455,1,1,0,0.205545,0.037091,0,0.0434
searound,closed,0,1,0.9,1,11,0.000375604,0.000375604,0.000395439,1.080735,1.018134,1,1,1,0.949841,1,1,0,0.150159,0.000604,0,0
searound,closed,0,1,0.9,2,29,0.000351988,0.000351988,0.000370396,1.030649,1,1,1,1,0.950302,1,1,0,0.149698,0.050691,0,7.3055
searound,closed,0,1,0.9,3,22,0.000380686,0.000380686,0.000390962,1.08134,1.006045,1.04,1,1,0.936266,1,1,0,0.163734,0,0,1.5199
searound,closed,0,1,0.9,4,35,0.000375981,0.000375981,0.000393311,1.08134,1.012089,1,1,1,0.95594,1,1,0,0.14406,0,0,2.7341
searound,closed,0,1,0.9,5,37,0.000321588,0.000321588,0.000400358,1.08134,1.030223,1,0.945,1,0.85,1,1,0,0.25,0,0,0.0279
searound,closed,0,1,0.9,6,2,0.000365083,0.000365083,0.00033745,0.92776,1.012089,1,1,1,1.081888,1,1,0,0.018112,0.15358,0,0.3125
searound,closed,0,1,0.9,7,5,0.000321239,0.000321239,0.000340026,0.929292,1.018134,1,0.945,1,0.999734,1,1,0,0.100266,0.152048,0,0.7134
searound,closed,0,1,0.9,8,10,0.000332489,0.000332489,0.000398009,1.08134,1.024178,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.3525
searound,closed,0,1,0.9,9,26,0.000365715,0.000365715,0.000365805,1.017874,1,1,1,1,0.999755,1,1,0,0.100245,0.063466,0,0.4506
searound,closed,0,1,0.9,10,32,0.000328564,0.000328564,0.000393311,1.08134,1.012089,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.4401
