track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
dirt-oval,closed,0,1,0.8,3,37,0.000248474,0.000248474,0.000309336,1.08134,1.011633,1,0.945,1,0.85,1,1,0,0.25,0,0,0.9667
dirt-oval,closed,0,1,0.8,4,34,0.000262935,0.000262935,0.000309336,1.08134,1.011633,1,1,1,0.85,1,1,0,0.25,0,0,0.008
dirt-oval,closed,0,1,0.8,5,35,0.000260148,0.000260148,0.000305027,1.074516,1.003878,1,1,1,0.852867,1,1,0,0.247133,0.006824,0,0.1705
dirt-oval,closed,0,1,0.8,6,3,0.000283944,0.000283944,0.00030815,1.08134,1.007755,1,0.945,1,0.975077,1,1,0,0.124923,0,0,0.2788
dirt-oval,closed,0,1,0.8,7,7,0.000260153,0.000260153,0.000301932,1.063614,1.003878,1,0.867923,1,0.992745,1,1,0,0.107255,0.017726,0,0.0524
dirt-oval,closed,0,1,0.8,8,32,0.000246455,0.000246455,0.000289947,1.021394,1.003878,1,1,1,0.85,1,1,0,0.25,0.059945,0,1.8001
dirt-oval,closed,0,1,0.8,9,33,0.000271356,0.000271356,0.000306964,1.08134,1.003878,1.04,1,1,0.85,1,1,0,0.25,0,0,2.0534
dirt-oval,closed,0,1,0.8,10,19,0.00025832,0.00025832,0.000295335,1.044409,1,1,1,1,0.874666,1,1,0,0.225334,0.036931,0,1.1827
dirt-oval,closed,0,1,0.8,11,12,0.00025806,0.00025806,0.000305779,1.08134,1,1,0.76985,1,1.096246,1,1,0,0.003754,0,0,0.1865
dirt-oval,closed,0,1,0.8,12,27,0.000263951,0.000263951,0.000298587,1.047782,1.007755,1.04,1,1,0.85,1,1,0,0.25,0.033557,0,0.3211
dirt-oval,closed,0,1,0.8,13,16,0.000262066,0.000262066,0.00030815,1.08134,1.007755,1,1,1,0.850451,1,1,0,0.249549,0,0,0.465
dirt-oval,closed,0,1,0.8,14,23,0.000261804,0.000261804,0.000263282,0.920351,1.011633,1,0.904125,1,1.099834,1,1,0,0.000166,0.160989,0,0.0348
dirt-oval,closed,0,1,0.8,15,6,0.000257422,0.000257422,0.00030815,1.08134,1.007755,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.2801
dirt-oval,closed,0,1,0.85,1,10,0.000278352,0.000278352,0.000300839,1.055685,1.007755,1,1,1,0.92525,1,1,0,0.17475,0.025654,0,0
dirt-oval,closed,0,1,0.85,2,8,0.000258993,0.000258993,0.000272621,0.956663,1.007755,1,1,1,0.950012,1,1,0,0.149988,0.124677,0,6.3692
dirt-oval,closed,0,1,0.85,3,34,0.000262935,0.000262935,0.000309336,1.08134,1.011633,1,1,1,0.85,1,1,0,0.25,0,0,1.2954
dirt-oval,closed,0,1,0.85,4,35,0.000270335,0.000270335,0.000297246,1.047107,1.003878,1,1,1,0.909463,1,1,0,0.190537,0.034233,0,0.1752
dirt-oval,closed,0,1,0.85,5,37,0.000262935,0.000262935,0.000309336,1.08134,1.011633,1,1,1,0.85,1,1,0,0.25,0,0,0.0112
dirt-oval,closed,0,1,0.85,6,3,0.000262672,0.000262672,0.00030815,1.08134,1.007755,1,0.897399,1,0.949875,1,1,0,0.150125,0,0,0.1779
dirt-oval,closed,0,1,0.85,7,7,0.000258784,0.000258784,0.000273869,0.964756,1.003878,1,0.945,1,0.999915,1,1,0,0.100085,0.116584,0,0.305
dirt-oval,closed,0,1,0.85,8,32,0.000257758,0.000257758,0.000303245,1.068237,1.003878,1,1,1,0.85,1,1,0,0.25,0.013103,0,2.3699
dirt-oval,closed,0,1,0.85,9,12,0.000295171,0.000295171,0.000287881,1.018047,1,1,1,1,1.025324,1,1,0,0.074676,0.063292,0,0.881
dirt-oval,closed,0,1,0.85,10,33,0.00026092,0.00026092,0.000306964,1.08134,1.003878,1,1,1,0.85,1,1,0,0.25,0,0,0.2701
dirt-oval,closed,0,1,0.85,11,26,0.00026709,0.00026709,0.000288683,1.020883,1,1,1,1,0.925203,1,1,0,0.174797,0.060457,0,1.2209
dirt-oval,closed,0,1,0.85,12,23,0.000271085,0.000271085,0.000262798,0.91866,1.011633,1.04,0.901825,1,1.099834,1,1,0,0.000166,0.162679,0,0.1113
dirt-oval,closed,0,1,0.85,13,19,0.000290443,0.000290443,0.000305779,1.08134,1,1,1,1,0.949848,1,1,0,0.150152,0,0,0.0061
dirt-oval,closed,0,1,0.85,14,36,0.000266823,0.000266823,0.00029879,1.044474,1.011633,1,0.81183,1,1.1,1,1,1,0,0.036866,0,0.1623
dirt-oval,closed,0,1,0.85,15,27,0.000263922,0.000263922,0.000298554,1.047665,1.007755,1.04,1,1,0.85,1,1,0,0.25,0.033674,0,0.3284
dirt-oval,closed,0,1,0.9,1,10,0.000264108,0.000264108,0.000285423,1.001587,1.007755,1,1,1,0.925321,1,1,0,0.174679,0.079752,0,0
dirt-oval,closed,0,1,0.9,2,8,0.000248705,0.000248705,0.000261791,0.91866,1.007755,1,1,1,0.950012,1,1,0,0.149988,0.162679,0,7.6255
dirt-oval,closed,0,1,0.9,3,37,0.000262935,0.000262935,0.000309336,1.08134,1.011633,1,1,1,0.85,1,1,0,0.25,0,0,0.6237
dirt-oval,closed,0,1,0.9,4,35,0.00025779,0.00025779,0.000303171,1.067977,1.003878,1,1,1,0.850313,1,1,0,0.249687,0.013363,0,0.0697
dirt-oval,closed,0,1,0.9,5,34,0.000286658,0.000286658,0.000309336,1.08134,1.011633,1,0.945,1,0.980624,1,1,0,0.119376,0,0,0.2352
