arm,track,raceIdx,startP,endP,durationMs,peakGapLen,resolved,corrected,hadCorrectableRollAhead,startedAfterWindowEnd,cause
s0.50,searound,7,0.732,0.8454,9632,2.8062,1,1,1,0,CORRECTED
s0.50,searound,7,0.8784,1,17056,2.3991,0,0,0,0,OUT-OF-ROLLS
s0.50,searound,8,0.0733,0.2652,15744,1.5208,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,8,0.3572,0.3632,544,0.843,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,8,0.4104,0.4167,576,0.7862,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,8,0.5792,0.6838,9792,1.5682,1,1,1,0,CORRECTED
s0.50,searound,8,0.7057,0.7836,7360,2.6569,1,1,1,0,CORRECTED
s0.50,searound,8,0.8073,0.9151,10448,1.3743,1,1,1,0,CORRECTED
s0.50,searound,9,0.1529,0.2686,10048,1.4466,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,9,0.3163,0.3183,192,0.7762,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,9,0.4702,0.4749,432,0.8965,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,9,0.6229,0.6754,4752,2.1727,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,9,0.6992,0.8511,13408,3.3895,1,1,1,0,CORRECTED
s0.50,searound,9,0.8832,0.9676,7136,1.5753,1,0,0,0,OUT-OF-ROLLS
s0.50,searound,10,0.0786,0.1295,4384,1.0701,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,10,0.19,0.2773,7232,1.6087,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,10,0.3582,0.3638,512,0.8154,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,10,0.4084,0.4603,4752,1.1708,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,10,0.6396,0.6817,3712,1.7353,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,10,0.7084,1,33136,2.2265,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,11,0.0307,0.262,19760,2.8127,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,11,0.2874,0.3188,2880,1.3437,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,11,0.4916,0.5687,7040,1.1756,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,11,0.6648,0.7225,5520,1.3709,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,11,0.7235,0.7278,416,0.7516,1,1,1,0,CORRECTED
s0.50,searound,11,0.7586,1,27600,4.2977,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.0597,0.1964,11472,1.5365,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.2395,0.272,2784,1.3449,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.3202,0.3601,3744,1.2702,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.4651,0.4929,2560,1.3084,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.5506,0.5625,1088,0.9453,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.653,0.7522,9760,1.5035,1,1,1,0,CORRECTED
s0.50,searound,12,0.7862,0.8289,4048,1.013,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,12,0.8934,1,15744,1.235,0,0,0,0,OUT-OF-ROLLS
s0.50,searound,13,0.095,0.2655,14208,1.5222,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,13,0.5417,0.6517,10048,1.2051,1,1,1,0,CORRECTED
s0.50,searound,13,0.6887,0.7471,6192,1.2008,1,1,1,0,CORRECTED
s0.50,searound,13,0.7855,0.8304,4368,1.0853,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,14,0.2189,0.3608,12576,1.7781,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,14,0.5384,0.5533,1360,1.0655,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,14,0.5917,0.707,10848,3.2251,1,1,1,0,CORRECTED
s0.50,searound,14,0.7414,1,29312,5.6032,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,15,0.1559,0.2784,10112,2.3229,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,15,0.3265,0.3327,592,0.7725,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,15,0.4744,0.5207,4240,1.1507,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,15,0.5472,0.5509,336,0.8079,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,15,0.5605,0.7556,18928,2.4102,1,1,1,0,CORRECTED
s0.50,searound,15,0.948,1,10176,0.977,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,16,0.0671,0.1657,8352,1.6296,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,16,0.2001,0.2748,6400,2.2763,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,16,0.2974,0.3694,6592,1.2941,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,16,0.4713,0.5486,7072,1.0528,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,16,0.7201,0.9478,21552,6.5419,1,1,1,0,CORRECTED
s0.50,searound,16,0.9695,1,8256,2.5924,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,17,0.1069,0.2732,13648,1.5136,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,17,0.3018,0.3091,672,0.8502,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,17,0.363,0.3925,2704,1.1633,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,17,0.5553,0.5807,2256,0.9403,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,17,0.7603,1,27744,3.6814,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,18,0.0973,0.2386,12128,1.5279,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,18,0.614,0.681,6448,2.0211,1,1,1,0,CORRECTED
s0.50,searound,18,0.6994,0.8505,12912,2.6193,1,1,1,0,CORRECTED
s0.50,searound,18,0.901,1,16080,2.1044,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,19,0.0526,0.3252,22992,4.8314,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,19,0.4626,0.4879,2320,1.2275,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,19,0.6093,0.7005,8864,1.5001,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,19,0.7714,1,27856,4.679,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,20,0.1399,0.337,16880,2.5809,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,20,0.6645,0.7002,3200,1.3725,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,20,0.7266,0.8969,15280,2.3779,1,1,1,0,CORRECTED
s0.50,searound,20,0.9185,1,14384,4.1523,0,0,0,0,OUT-OF-ROLLS
s0.50,searound,21,0.1236,0.1757,4496,1.1512,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,21,0.4823,0.4847,224,0.7834,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,21,0.5112,0.556,4064,1.5611,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,21,0.5946,0.633,3552,1.0505,1,1,1,0,CORRECTED
s0.50,searound,21,0.6593,0.6993,3568,1.5407,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,21,0.7469,0.8928,13088,1.2026,1,1,1,0,CORRECTED
s0.50,searound,21,0.967,1,8384,1.1823,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,22,0.0638,0.278,17872,1.9181,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,22,0.4107,0.5391,11632,1.5028,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,22,0.7096,0.9277,21152,4.1518,1,1,1,0,CORRECTED
s0.50,searound,22,0.9853,1,7056,1.6032,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,23,0.0677,0.3022,19712,3.3402,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,23,0.3809,0.3946,1360,0.7661,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,23,0.5899,0.7128,11584,1.8253,1,1,1,0,CORRECTED
s0.50,searound,23,0.9097,1,12816,1.5631,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,24,0.0389,0.2688,19408,1.954,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,24,0.3006,0.3273,2448,0.8232,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,24,0.3954,0.4005,464,0.8526,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,24,0.5575,0.685,12176,1.5019,1,1,1,0,CORRECTED
s0.50,searound,24,0.7607,0.895,12272,2.0732,1,1,1,0,CORRECTED
s0.50,searound,24,0.9975,1,4560,0.8478,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,0,0.0745,0.1267,5424,0.99,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,0,0.2474,0.2519,432,0.7769,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,0,0.3099,0.312,224,0.7807,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,0,0.359,0.3703,1232,0.8588,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,0,0.6477,0.7761,13184,2.9244,1,1,1,0,CORRECTED
s1.0,city-circuit,0,0.8135,0.8144,96,0.7586,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,1,0.0935,0.2588,16032,1.5298,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,1,0.288,0.2892,128,0.766,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,1,0.363,0.3917,3136,1.0978,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,1,0.5251,0.553,3040,1.1567,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,1,0.8057,1,26640,1.8596,0,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,2,0.1546,0.2725,11536,1.5015,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,2,0.5244,0.5506,2784,0.8832,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,2,0.6137,0.745,15248,3.4401,1,1,1,0,CORRECTED
s1.0,city-circuit,2,0.7702,0.8411,8144,1.5259,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,2,0.8983,0.977,8784,0.9475,1,0,0,0,OUT-OF-ROLLS
s1.0,city-circuit,3,0.1375,0.2889,15184,2.7304,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,3,0.3113,0.327,1712,0.9852,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,3,0.6365,0.6632,2896,1.184,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,3,0.6955,0.7417,5408,0.9767,1,1,1,0,CORRECTED
s1.0,city-circuit,3,0.7549,0.8661,12336,3.6962,1,1,1,0,CORRECTED
s1.0,city-circuit,3,0.9286,1,12416,2.2113,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,4,0.0488,0.2653,22336,2.2,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,4,0.7265,0.9223,21856,4.0463,1,1,1,0,CORRECTED
s1.0,city-circuit,4,0.9653,1,7792,2.1567,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,5,0.1951,0.2354,4064,0.9465,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,5,0.6164,0.6719,5904,1.7716,1,1,1,0,CORRECTED
s1.0,city-circuit,5,0.7343,0.9031,19152,3.4727,1,1,1,0,CORRECTED
s1.0,city-circuit,5,0.9249,0.9262,128,0.7815,1,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,5,0.9783,1,9024,1.4011,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,6,0.1049,0.2364,13072,1.1871,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,6,0.2738,0.2878,1520,0.9737,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,6,0.4328,0.4825,5424,1.921,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,6,0.7896,0.963,18176,2.8286,1,1,1,0,CORRECTED
s1.0,city-circuit,7,0.1199,0.3252,20608,3.3845,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,7,0.4044,0.4261,2368,1.0409,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,7,0.6596,0.7227,7344,1.4178,1,1,1,0,CORRECTED
s1.0,city-circuit,7,0.7494,0.827,8848,2.6613,1,1,1,0,CORRECTED
s1.0,city-circuit,7,0.8462,1,21968,2.2423,0,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,8,0.1009,0.2848,17984,1.5306,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,8,0.4458,0.4508,544,0.8014,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,8,0.593,0.6947,10208,2.3247,1,1,1,0,CORRECTED
s1.0,city-circuit,8,0.7427,1,38368,1.9556,0,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,9,0.0926,0.2648,17280,2.3546,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,9,0.4343,0.4486,1584,0.7798,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,9,0.6617,0.7013,4288,1.0039,1,1,1,0,CORRECTED
s1.0,city-circuit,9,0.7335,0.7875,5728,1.6455,1,1,1,0,CORRECTED
s1.0,city-circuit,10,0.1179,0.2904,17136,2.5889,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,10,0.6118,0.8036,21632,4.1238,1,1,1,0,CORRECTED
s1.0,city-circuit,10,0.9075,0.9267,2112,0.9273,1,0,0,0,OUT-OF-ROLLS
s1.0,city-circuit,11,0.0408,0.1651,12560,1.8116,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,11,0.2101,0.2381,2688,0.8678,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,11,0.2449,0.2603,1520,0.8269,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,11,0.4623,0.4651,288,0.7836,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,11,0.4812,0.4967,1680,1.0989,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,11,0.634,0.7912,17056,2.5484,1,1,1,0,CORRECTED
s1.0,city-circuit,12,0.0562,0.1547,9728,1.3719,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,12,0.2014,0.272,6976,1.5631,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,12,0.3655,0.4013,3904,1.2936,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,12,0.4487,0.4573,944,0.8601,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,12,0.5897,0.6002,1072,0.7723,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,12,0.621,0.8813,29904,4.5578,1,1,1,0,CORRECTED
s1.0,city-circuit,12,0.9047,1,16656,2.4364,0,0,0,0,OUT-OF-ROLLS
s1.0,city-circuit,13,0.1123,0.2786,16400,1.5791,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,13,0.646,0.7107,6528,2.0449,1,1,1,0,CORRECTED
s1.0,city-circuit,13,0.7794,1,32256,3.4589,0,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,14,0.1461,0.3137,16832,2.8476,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,14,0.4285,0.4871,6384,1.8847,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,14,0.6749,0.8486,18912,4.7157,1,1,1,0,CORRECTED
s1.0,city-circuit,14,0.8679,0.9373,7472,1.7765,1,1,1,0,CORRECTED
s1.0,city-circuit,15,0.1319,0.2777,14288,1.555,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,15,0.6143,0.7406,14736,1.3158,1,1,1,0,CORRECTED
s1.0,city-circuit,15,0.8298,0.8448,1712,0.9505,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,15,0.8775,1,18640,2.8264,0,0,0,0,OUT-OF-ROLLS
s1.0,city-circuit,16,0.1542,0.2683,11648,2.5945,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,16,0.2956,0.3097,1584,0.9329,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,16,0.6418,0.7707,14528,2.5522,1,1,1,0,CORRECTED
s1.0,city-circuit,16,0.7885,0.9849,21968,3.017,1,1,1,0,CORRECTED
s1.0,city-circuit,17,0.0848,0.2942,20464,1.9164,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,17,0.3295,0.3863,6192,1.3437,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,17,0.5414,0.6313,9712,1.5419,1,1,1,0,CORRECTED
s1.0,city-circuit,17,0.6946,0.7042,1072,0.9172,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,17,0.7252,0.8211,10864,1.702,1,1,1,0,CORRECTED
s1.0,city-circuit,18,0.1282,0.2496,12128,1.4162,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,18,0.9603,0.9631,272,0.7727,1,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,18,0.9752,1,8544,1.0964,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,19,0.3975,0.4038,688,0.8198,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,19,0.7636,0.8574,9936,1.537,1,1,1,0,CORRECTED
s1.0,city-circuit,19,0.9015,0.93,2848,1.1447,1,1,1,0,CORRECTED
s1.0,city-circuit,19,0.963,1,14656,1.9336,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,20,0.0906,0.2948,20064,1.5034,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,20,0.4647,0.5576,10128,1.5606,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,20,0.6199,0.6368,2016,0.8977,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,20,0.6622,0.7177,6208,1.6976,1,1,1,0,CORRECTED
s1.0,city-circuit,20,0.7392,0.8422,10624,1.5281,1,1,1,0,CORRECTED
s1.0,city-circuit,20,0.872,1,20720,1.6908,0,0,0,0,OUT-OF-ROLLS
s1.0,city-circuit,21,0.1315,0.2883,16144,2.9798,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,21,0.3713,0.3716,32,0.7525,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,21,0.4815,0.4849,368,0.8078,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,21,0.5781,0.6514,8080,1.4129,1,1,1,0,CORRECTED
s1.0,city-circuit,21,0.71,0.7351,2640,0.9395,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,22,0.121,0.3656,25088,4.6795,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,22,0.4084,0.5508,15296,1.6747,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,22,0.6317,0.6433,1424,0.7553,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,22,0.7083,0.7718,7328,1.0162,1,1,1,0,CORRECTED
s1.0,city-circuit,22,0.8191,0.8427,2720,0.8703,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,22,0.9759,1,7072,1.1315,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,23,0.1226,0.3142,19184,3.6866,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,23,0.3403,0.3439,384,0.8173,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,23,0.615,0.6271,1424,0.8557,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,23,0.6294,0.72,11120,1.2662,1,1,1,0,CORRECTED
s1.0,city-circuit,23,0.7363,0.8299,10560,2.1737,1,1,1,0,CORRECTED
s1.0,city-circuit,23,0.9954,1,5552,0.7646,0,0,0,1,OUT-OF-ROLLS
s1.0,city-circuit,24,0.0939,0.2652,17056,1.6994,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,24,0.3535,0.3787,2752,1.2594,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,24,0.4201,0.4367,1840,1.0587,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,24,0.5965,0.6215,2736,0.9547,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,24,0.6668,0.7992,14656,3.1975,1,1,1,0,CORRECTED
s1.0,city-circuit,24,0.8545,0.8784,2784,1.233,1,0,1,0,UNCORRECTED-OTHER
s1.0,city-circuit,24,0.8974,1,16480,2.6056,0,0,0,0,OUT-OF-ROLLS
s1.0,searound,0,0.075,0.2704,17440,1.6739,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,0,0.3749,0.3994,2336,0.9603,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,0,0.6833,0.9804,26704,6.9175,1,1,1,0,CORRECTED
s1.0,searound,1,0.0895,0.2724,14944,1.6324,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,1,0.3016,0.3175,1456,0.8453,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,1,0.4252,0.5076,7216,1.6995,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,1,0.6132,0.6768,6288,1.9645,1,1,1,0,CORRECTED
s1.0,searound,1,0.7601,0.8216,6080,1.2009,1,1,1,0,CORRECTED
s1.0,searound,1,0.8877,1,15776,2.4578,0,0,0,0,OUT-OF-ROLLS
s1.0,searound,2,0.1057,0.2957,15744,1.5152,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,2,0.3878,0.4769,7904,1.5646,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,2,0.5344,0.7497,20160,1.8984,1,1,1,0,CORRECTED
