arm,track,raceIdx,startP,endP,durationMs,peakGapLen,resolved,corrected,hadCorrectableRollAhead,startedAfterWindowEnd,cause
s1.0,searound,13,0.8455,0.9609,10384,2.1589,1,0,0,0,OUT-OF-ROLLS
s1.0,searound,13,0.9944,1,5312,1.0127,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,14,0.2189,0.3608,12576,1.7781,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,14,0.5384,0.5533,1360,1.0655,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,14,0.5917,0.6897,9184,3.2251,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,14,0.7072,1,32320,5.4164,0,0,1,0,UNCORRECTED-OTHER
s1.0,searound,15,0.1559,0.2784,10112,2.3229,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,15,0.3265,0.3327,592,0.7725,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,15,0.4744,0.5207,4240,1.1507,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,15,0.5472,0.5509,336,0.8079,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,15,0.5605,0.7242,15712,2.1456,1,1,1,0,CORRECTED
s1.0,searound,15,0.7588,0.8322,7152,1.6146,1,1,1,0,CORRECTED
s1.0,searound,15,0.8612,0.8967,3360,1.5768,1,1,1,0,CORRECTED
s1.0,searound,15,0.9544,1,9760,1.0948,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,16,0.0671,0.1657,8352,1.6296,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,16,0.2001,0.2748,6400,2.2763,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,16,0.2974,0.3694,6592,1.2941,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,16,0.4713,0.5486,7072,1.0528,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,16,0.7206,0.9612,22848,6.0302,1,1,1,0,CORRECTED
s1.0,searound,16,0.984,1,5328,1.8579,0,0,0,1,OUT-OF-ROLLS
s1.0,searound,17,0.1069,0.2732,13648,1.5136,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,17,0.3018,0.3091,672,0.8502,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,17,0.363,0.3925,2704,1.1633,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,17,0.5553,0.5807,2256,0.9403,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,17,0.8535,1,18656,1.9422,0,0,0,0,OUT-OF-ROLLS
s1.0,searound,18,0.0973,0.2386,12128,1.5279,1,0,1,0,UNCORRECTED-OTHER
s1.0,searound,18,0.614,0.6868,7008,1.9216,1,1,1,0,CORRECTED
s1.0,searound,18,0.7249,1,32464,1.5747,0,0,1,0,UNCORRECTED-OTHER
s1.0,searound,19,0.0526,0.3252,22992,4.8314,1,0,1,0,UNCORRECTED-OTHER
