scope,type,dur,n,bandDelivery,tierExactness,runawayRate,paradeRate,p1Contest80,p1Contest62,leadChangeMean,distinctLeadersMean,intraTierEntropy,bandViolations,redealsMean,recompilesMean,replansMean,minMarginMean
POOLED,all,120,25,0.7208,0,0.08,0,0,0,0.08,1.08,1,0,13.24,0,0,
luger-hill,open,120,25,0.665,0,0.08,0,0,0,0,1,1,0,13.24,0,0,
mountainstreet,open,120,25,0.755,0,0,0,0,0,0.28,1.28,1,0,13.24,0,0,
searound,closed,120,25,0.687,0,0.16,0,0,0,0.04,1.04,1,0,13.24,0,0,
dirt-oval,closed,120,25,0.776,0,0.08,0,0,0,0,1,1,0,13.24,0,0,
