arm,G,S,nRaces,bandReachPooled,holmFlaggedTracks,deadRate,frontGroupAtLine,finaleLead,finaleDistinct,runawayRate,paradeRate,duoRate,tiltSaturatedRate,tiltFracMed,nTiltEvents,escapeDepthMed,escapeDepthP90,escapeDepthMax
CANDIDATE-G075-s050,0.75,0.5,400,0.716,2,0.145,4.053,1.905,2.865,0.083,0.007,0.04,0.187,0.371,699,1.97,4.046,7.29
CURRENT-G150-s100,1.5,1.0,400,0.716,2,0.147,3.855,1.692,2.667,0.095,0.013,0.063,0.46,0.906,350,2.714,4.714,12.069
