arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,mountainstreet,80,runaway,1,0,1,0,1,0,0,681
R97-ON,mountainstreet,81,converted,0,0,2,1,0.5562,0.6499,7.2,694
R97-ON,mountainstreet,82,normal,0,0,3,2,0.6451,1,10.848,679
R97-ON,mountainstreet,83,normal,0,0,2,2,0.7693,1,10.944,685
R97-ON,mountainstreet,84,normal,0,0,3,2,0.4929,0.8014,8.96,700
R97-ON,mountainstreet,85,normal,0,0,2,1,0.6706,1,10.768,674
R97-ON,mountainstreet,86,normal,0,0,2,1,0.6904,1,11.664,730
R97-ON,mountainstreet,87,normal,0,0,2,1,0.7382,0.586,3.184,657
R97-ON,mountainstreet,88,normal,0,0,2,1,0.8193,0.6597,7.52,714
R97-ON,mountainstreet,89,normal,0,0,2,1,0.9203,0.1038,1.088,665
R97-ON,mountainstreet,90,normal,0,0,3,2,0.4457,1,10.896,682
R97-ON,mountainstreet,91,normal,0,0,2,1,0.8595,0.0565,0.576,655
R97-ON,mountainstreet,92,normal,0,0,2,2,0.8882,1,10.864,680
R97-ON,mountainstreet,93,normal,0,0,3,2,0.8331,0.9757,10.272,659
R97-ON,mountainstreet,94,normal,0,0,2,1,0.5391,0.6736,7.28,677
R97-ON,mountainstreet,95,normal,0,0,2,1,0.7618,0.786,6.464,701
R97-ON,mountainstreet,96,runaway,1,0,1,0,1,0,0,695
R97-ON,mountainstreet,97,normal,0,0,1,0,1,0,0,717
R97-ON,mountainstreet,98,normal,0,0,3,2,0.7804,1,10.912,683
R97-ON,mountainstreet,99,normal,0,0,1,0,1,0.5175,3.072,657
R97-ON,mountainstreet,100,normal,0,0,2,1,0.5125,0.2056,2.224,681
