arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,dirt-oval,86,runaway,1,0,2,1,0.8936,0.3146,6.608,1316
V0,dirt-oval,87,runaway,1,0,1,0,1,0,0,1407
V0,dirt-oval,88,runaway,1,0,1,0,1,0,0,1398
V0,dirt-oval,89,normal,0,0,2,1,0.5318,0.9936,22.224,1399
V0,dirt-oval,90,normal,0,0,2,2,0.6121,1,23.616,1477
V0,dirt-oval,91,normal,0,1,3,4,0.4765,1,22.416,1402
V0,dirt-oval,92,runaway,1,0,1,0,1,0,0,1372
V0,dirt-oval,93,runaway,1,0,1,0,1,0,0,1396
V0,dirt-oval,94,normal,0,0,2,1,0.7551,1,22.72,1421
V0,dirt-oval,95,normal,0,0,1,0,1,0.6155,9.76,1415
V0,dirt-oval,96,normal,0,0,2,1,0.8584,1,21.904,1370
V0,dirt-oval,97,normal,0,0,3,2,0.6051,1,23.36,1461
V0,dirt-oval,98,normal,0,0,3,2,0.6468,0.4685,10.32,1379
V0,dirt-oval,99,normal,0,0,3,2,0.774,0.7381,17.072,1447
V0,dirt-oval,100,normal,0,0,1,0,1,1,22,1376
