arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,luger-hill,84,normal,0,0,1,0,1,0.4594,4.96,677
R97-ON,luger-hill,85,normal,0,0,2,1,0.5881,0.6493,6.768,653
R97-ON,luger-hill,86,runaway,1,0,1,0,1,0.4227,2.752,660
R97-ON,luger-hill,87,normal,0,0,1,0,1,1,9.792,613
R97-ON,luger-hill,88,normal,0,0,2,1,0.5907,1,10.304,645
R97-ON,luger-hill,89,converted,0,0,1,0,1,0.3564,3.888,721
R97-ON,luger-hill,90,normal,0,0,1,0,1,0.8942,8.912,624
R97-ON,luger-hill,91,converted,0,0,1,0,1,0,0,696
R97-ON,luger-hill,92,normal,0,0,1,0,1,0,0,668
R97-ON,luger-hill,93,runaway,1,0,1,0,1,0.3881,4.176,675
R97-ON,luger-hill,94,normal,0,0,1,0,1,0.0032,0.016,619
R97-ON,luger-hill,95,normal,0,0,2,1,0.6981,0.6037,6.224,646
R97-ON,luger-hill,96,normal,0,0,2,1,0.6288,1,10.416,652
R97-ON,luger-hill,97,runaway,1,0,1,0,1,0.1381,1.44,659
R97-ON,luger-hill,98,normal,0,0,2,1,0.6716,1,10.704,670
R97-ON,luger-hill,99,converted,0,0,1,0,1,0.5078,5.744,709
R97-ON,luger-hill,100,normal,0,0,2,1,0.9837,1,10.784,675
