arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
R97-ON,searound,86,normal,0,0,3,2,0.4527,0.9238,16.864,1142
R97-ON,searound,87,normal,0,0,1,0,1,0.4701,7.92,1055
R97-ON,searound,88,converted,0,0,1,0,1,0.6667,12.816,1203
R97-ON,searound,89,converted,0,0,2,1,0.9413,0.804,8.976,1209
R97-ON,searound,90,normal,0,0,2,1,0.8578,0.777,13.36,1076
R97-ON,searound,91,normal,0,1,4,3,0.3985,1,18.976,1187
R97-ON,searound,92,normal,0,0,2,1,0.5198,0.5849,9.904,1060
R97-ON,searound,93,normal,0,0,2,2,0.657,0.8504,15.536,1143
R97-ON,searound,94,converted,0,0,3,2,0.7488,0.7962,11.632,1202
R97-ON,searound,95,runaway,1,0,1,0,1,0,0,1242
R97-ON,searound,96,normal,0,0,2,1,0.6556,0.7439,12.72,1179
R97-ON,searound,97,normal,0,0,1,0,1,1,18.576,1162
R97-ON,searound,98,normal,0,0,2,1,0.6186,0.2713,4.832,1117
R97-ON,searound,99,normal,0,0,3,2,0.6527,0.6242,11.2,1123
R97-ON,searound,100,converted,0,0,1,0,1,0.222,4.4,1243
