scope,type,dur,n,bandDelivery,tierExactness,runawayRate,paradeRate,p1Contest80,p1Contest62,leadChangeMean,distinctLeadersMean,intraTierEntropy,bandViolations,redealsMean,recompilesMean,replansMean,minMarginMean
POOLED,all,60,50,0.4718,0,0.075,0.01,0,0,0.17,1.17,1,0,0,0,320,0
luger-hill,open,60,50,0.4775,0,0.08,0,0,0,0.2,1.2,1,0,0,0,320,0
mountainstreet,open,60,50,0.462,0,0,0,0,0,0.16,1.16,1,0,0,0,320,0
searound,closed,60,50,0.5075,0,0.16,0.02,0,0,0.2,1.2,1,0,0,0,320,0
dirt-oval,closed,60,50,0.44,0,0.06,0.02,0,0,0.12,1.12,1,0,0,0,320,0
